Day,Susceptible,Infected,Recovered,All Preventions,No Preventions,Only Hands,Only Mask,Only Social Dist,Hands and Mask,Hands and Social Dist,Mask and Social Dist
21.0,322,1142.0,38571.0,4724.0,4880.0,4962.0,4781.0,4861.0,4791.0,4843.0,4729.0
22.0,301,434.0,39284.0,4927.0,4891.0,5002.0,4860.0,4890.0,4920.0,4931.0,4863.0
23.0,292,163.0,39557.0,5027.0,4892.0,5014.0,4889.0,4895.0,4963.0,4956.0,4921.0
24.0,289,63.0,39657.0,5057.0,4893.0,5018.0,4902.0,4899.0,4981.0,4963.0,4944.0
25.0,287,19.0,39701.0,5073.0,4893.0,5018.0,4907.0,4899.0,4989.0,4967.0,4955.0
26.0,287,7.0,39713.0,5077.0,4893.0,5019.0,4909.0,4899.0,4990.0,4967.0,4959.0
27.0,287,3.0,39718.0,5080.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4959.0
28.0,287,1.0,39720.0,5081.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4960.0
29.0,287,1.0,39720.0,5081.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4960.0
30.0,287,1.0,39720.0,5081.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4960.0
31.0,40001,1.0,39720.0,5081.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4960.0
32.0,40000,0.0,39721.0,5081.0,4893.0,5019.0,4910.0,4899.0,4991.0,4967.0,4961.0
,39996,,,,,,,,,,
,39989,,,,,,,,,,
,39973,,,,,,,,,,
,39931,,,,,,,,,,
,39842,,,,,,,,,,
,39647,,,,,,,,,,
,39215,,,,,,,,,,
,40001,,,,,,,,,,
,40001,,,,,,,,,,
,39999,,,,,,,,,,
,39996,,,,,,,,,,
,39991,,,,,,,,,,
,39976,,,,,,,,,,
,39949,,,,,,,,,,
,39885,,,,,,,,,,
,39746,,,,,,,,,,
,39423,,,,,,,,,,
,38717,,,,,,,,,,
,37179,,,,,,,,,,
,34198,,,,,,,,,,
,28815,,,,,,,,,,
,20811,,,,,,,,,,
,12172,,,,,,,,,,
,5832,,,,,,,,,,
,2497,,,,,,,,,,
,1135,,,,,,,,,,
,600,,,,,,,,,,
,411,,,,,,,,,,
,318,,,,,,,,,,
,289,,,,,,,,,,
,274,,,,,,,,,,
,270,,,,,,,,,,
,270,,,,,,,,,,
,270,,,,,,,,,,
,270,,,,,,,,,,
,270,,,,,,,,,,
,270,,,,,,,,,,
,40001,,,,,,,,,,
,39999,,,,,,,,,,
,39996,,,,,,,,,,
,39989,,,,,,,,,,
,39974,,,,,,,,,,
,39938,,,,,,,,,,
,39871,,,,,,,,,,
,39714,,,,,,,,,,
,39395,,,,,,,,,,
,38645,,,,,,,,,,
,37144,,,,,,,,,,
,34062,,,,,,,,,,
,28566,,,,,,,,,,
,20297,,,,,,,,,,
,11670,,,,,,,,,,
,5516,,,,,,,,,,
,2345,,,,,,,,,,
,1081,,,,,,,,,,
,577,,,,,,,,,,
,384,,,,,,,,,,
,296,,,,,,,,,,
,277,,,,,,,,,,
,268,,,,,,,,,,
,265,,,,,,,,,,
,264,,,,,,,,,,
,262,,,,,,,,,,
,262,,,,,,,,,,
,262,,,,,,,,,,
,261,,,,,,,,,,
,261,,,,,,,,,,
,261,,,,,,,,,,
,261,,,,,,,,,,
,261,,,,,,,,,,
,261,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39999,,,,,,,,,,
,39995,,,,,,,,,,
,39985,,,,,,,,,,
,39961,,,,,,,,,,
,39920,,,,,,,,,,
,39820,,,,,,,,,,
,39599,,,,,,,,,,
,39137,,,,,,,,,,
,38200,,,,,,,,,,
,36155,,,,,,,,,,
,32308,,,,,,,,,,
,25758,,,,,,,,,,
,17098,,,,,,,,,,
,9274,,,,,,,,,,
,4270,,,,,,,,,,
,1956,,,,,,,,,,
,970,,,,,,,,,,
,562,,,,,,,,,,
,397,,,,,,,,,,
,333,,,,,,,,,,
,314,,,,,,,,,,
,305,,,,,,,,,,
,298,,,,,,,,,,
,296,,,,,,,,,,
,295,,,,,,,,,,
,295,,,,,,,,,,
,295,,,,,,,,,,
,295,,,,,,,,,,
,295,,,,,,,,,,
,295,,,,,,,,,,
,40001,,,,,,,,,,
,40001,,,,,,,,,,
,40001,,,,,,,,,,
,40001,,,,,,,,,,
,39999,,,,,,,,,,
,39996,,,,,,,,,,
,39992,,,,,,,,,,
,39986,,,,,,,,,,
,39965,,,,,,,,,,
,39934,,,,,,,,,,
,39852,,,,,,,,,,
,39667,,,,,,,,,,
,39244,,,,,,,,,,
,38330,,,,,,,,,,
,36417,,,,,,,,,,
,32663,,,,,,,,,,
,26454,,,,,,,,,,
,17817,,,,,,,,,,
,9721,,,,,,,,,,
,4485,,,,,,,,,,
,1950,,,,,,,,,,
,960,,,,,,,,,,
,533,,,,,,,,,,
,363,,,,,,,,,,
,299,,,,,,,,,,
,274,,,,,,,,,,
,261,,,,,,,,,,
,259,,,,,,,,,,
,258,,,,,,,,,,
,258,,,,,,,,,,
,258,,,,,,,,,,
,257,,,,,,,,,,
,257,,,,,,,,,,
,257,,,,,,,,,,
,257,,,,,,,,,,
,257,,,,,,,,,,
,257,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39998,,,,,,,,,,
,39991,,,,,,,,,,
,39980,,,,,,,,,,
,39953,,,,,,,,,,
,39900,,,,,,,,,,
,39784,,,,,,,,,,
,39525,,,,,,,,,,
,38945,,,,,,,,,,
,37768,,,,,,,,,,
,35387,,,,,,,,,,
,30890,,,,,,,,,,
,23706,,,,,,,,,,
,14918,,,,,,,,,,
,7585,,,,,,,,,,
,3388,,,,,,,,,,
,1506,,,,,,,,,,
,777,,,,,,,,,,
,461,,,,,,,,,,
,335,,,,,,,,,,
,280,,,,,,,,,,
,263,,,,,,,,,,
,256,,,,,,,,,,
,253,,,,,,,,,,
,253,,,,,,,,,,
,253,,,,,,,,,,
,253,,,,,,,,,,
,253,,,,,,,,,,
,253,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39999,,,,,,,,,,
,39994,,,,,,,,,,
,39985,,,,,,,,,,
,39961,,,,,,,,,,
,39919,,,,,,,,,,
,39827,,,,,,,,,,
,39602,,,,,,,,,,
,39163,,,,,,,,,,
,38171,,,,,,,,,,
,36055,,,,,,,,,,
,32030,,,,,,,,,,
,25305,,,,,,,,,,
,16678,,,,,,,,,,
,8760,,,,,,,,,,
,3916,,,,,,,,,,
,1720,,,,,,,,,,
,855,,,,,,,,,,
,498,,,,,,,,,,
,372,,,,,,,,,,
,311,,,,,,,,,,
,291,,,,,,,,,,
,284,,,,,,,,,,
,280,,,,,,,,,,
,279,,,,,,,,,,
,278,,,,,,,,,,
,278,,,,,,,,,,
,278,,,,,,,,,,
,278,,,,,,,,,,
,278,,,,,,,,,,
,278,,,,,,,,,,
,40001,,,,,,,,,,
,40001,,,,,,,,,,
,39999,,,,,,,,,,
,39993,,,,,,,,,,
,39983,,,,,,,,,,
,39962,,,,,,,,,,
,39908,,,,,,,,,,
,39800,,,,,,,,,,
,39547,,,,,,,,,,
,39004,,,,,,,,,,
,37816,,,,,,,,,,
,35365,,,,,,,,,,
,30792,,,,,,,,,,
,23533,,,,,,,,,,
,14741,,,,,,,,,,
,7438,,,,,,,,,,
,3349,,,,,,,,,,
,1501,,,,,,,,,,
,753,,,,,,,,,,
,448,,,,,,,,,,
,335,,,,,,,,,,
,298,,,,,,,,,,
,283,,,,,,,,,,
,277,,,,,,,,,,
,275,,,,,,,,,,
,275,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,272,,,,,,,,,,
,272,,,,,,,,,,
,272,,,,,,,,,,
,272,,,,,,,,,,
,272,,,,,,,,,,
,272,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39997,,,,,,,,,,
,39992,,,,,,,,,,
,39977,,,,,,,,,,
,39948,,,,,,,,,,
,39878,,,,,,,,,,
,39721,,,,,,,,,,
,39403,,,,,,,,,,
,38732,,,,,,,,,,
,37282,,,,,,,,,,
,34340,,,,,,,,,,
,29085,,,,,,,,,,
,21283,,,,,,,,,,
,12576,,,,,,,,,,
,6203,,,,,,,,,,
,2778,,,,,,,,,,
,1266,,,,,,,,,,
,670,,,,,,,,,,
,435,,,,,,,,,,
,338,,,,,,,,,,
,298,,,,,,,,,,
,290,,,,,,,,,,
,284,,,,,,,,,,
,284,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39996,,,,,,,,,,
,39985,,,,,,,,,,
,39954,,,,,,,,,,
,39909,,,,,,,,,,
,39806,,,,,,,,,,
,39583,,,,,,,,,,
,39084,,,,,,,,,,
,38022,,,,,,,,,,
,35907,,,,,,,,,,
,31836,,,,,,,,,,
,24834,,,,,,,,,,
,16184,,,,,,,,,,
,8465,,,,,,,,,,
,3758,,,,,,,,,,
,1669,,,,,,,,,,
,798,,,,,,,,,,
,445,,,,,,,,,,
,313,,,,,,,,,,
,266,,,,,,,,,,
,247,,,,,,,,,,
,238,,,,,,,,,,
,235,,,,,,,,,,
,234,,,,,,,,,,
,234,,,,,,,,,,
,234,,,,,,,,,,
,234,,,,,,,,,,
,234,,,,,,,,,,
,234,,,,,,,,,,
,40001,,,,,,,,,,
,39998,,,,,,,,,,
,39996,,,,,,,,,,
,39989,,,,,,,,,,
,39967,,,,,,,,,,
,39925,,,,,,,,,,
,39824,,,,,,,,,,
,39605,,,,,,,,,,
,39121,,,,,,,,,,
,38028,,,,,,,,,,
,35810,,,,,,,,,,
,31585,,,,,,,,,,
,24680,,,,,,,,,,
,15872,,,,,,,,,,
,8269,,,,,,,,,,
,3704,,,,,,,,,,
,1688,,,,,,,,,,
,822,,,,,,,,,,
,483,,,,,,,,,,
,357,,,,,,,,,,
,307,,,,,,,,,,
,287,,,,,,,,,,
,277,,,,,,,,,,
,274,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,273,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39997,,,,,,,,,,
,39987,,,,,,,,,,
,39964,,,,,,,,,,
,39920,,,,,,,,,,
,39791,,,,,,,,,,
,39546,,,,,,,,,,
,39033,,,,,,,,,,
,37928,,,,,,,,,,
,35652,,,,,,,,,,
,31342,,,,,,,,,,
,24309,,,,,,,,,,
,15551,,,,,,,,,,
,8037,,,,,,,,,,
,3605,,,,,,,,,,
,1589,,,,,,,,,,
,750,,,,,,,,,,
,432,,,,,,,,,,
,313,,,,,,,,,,
,269,,,,,,,,,,
,247,,,,,,,,,,
,243,,,,,,,,,,
,239,,,,,,,,,,
,238,,,,,,,,,,
,237,,,,,,,,,,
,237,,,,,,,,,,
,237,,,,,,,,,,
,237,,,,,,,,,,
,237,,,,,,,,,,
,237,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39997,,,,,,,,,,
,39991,,,,,,,,,,
,39979,,,,,,,,,,
,39945,,,,,,,,,,
,39864,,,,,,,,,,
,39708,,,,,,,,,,
,39351,,,,,,,,,,
,38586,,,,,,,,,,
,36967,,,,,,,,,,
,33651,,,,,,,,,,
,27849,,,,,,,,,,
,19537,,,,,,,,,,
,11042,,,,,,,,,,
,5311,,,,,,,,,,
,2405,,,,,,,,,,
,1128,,,,,,,,,,
,595,,,,,,,,,,
,380,,,,,,,,,,
,288,,,,,,,,,,
,260,,,,,,,,,,
,251,,,,,,,,,,
,249,,,,,,,,,,
,247,,,,,,,,,,
,247,,,,,,,,,,
,247,,,,,,,,,,
,247,,,,,,,,,,
,247,,,,,,,,,,
,247,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39998,,,,,,,,,,
,39988,,,,,,,,,,
,39970,,,,,,,,,,
,39930,,,,,,,,,,
,39849,,,,,,,,,,
,39661,,,,,,,,,,
,39285,,,,,,,,,,
,38479,,,,,,,,,,
,36778,,,,,,,,,,
,33303,,,,,,,,,,
,27360,,,,,,,,,,
,18933,,,,,,,,,,
,10600,,,,,,,,,,
,4874,,,,,,,,,,
,2107,,,,,,,,,,
,980,,,,,,,,,,
,554,,,,,,,,,,
,382,,,,,,,,,,
,321,,,,,,,,,,
,289,,,,,,,,,,
,278,,,,,,,,,,
,276,,,,,,,,,,
,275,,,,,,,,,,
,275,,,,,,,,,,
,274,,,,,,,,,,
,274,,,,,,,,,,
,274,,,,,,,,,,
,274,,,,,,,,,,
,274,,,,,,,,,,
,274,,,,,,,,,,
,40001,,,,,,,,,,
,40000,,,,,,,,,,
,39994,,,,,,,,,,
,39987,,,,,,,,,,
,39971,,,,,,,,,,
,39928,,,,,,,,,,
,39842,,,,,,,,,,
,39632,,,,,,,,,,
,39232,,,,,,,,,,
,38355,,,,,,,,,,
,36484,,,,,,,,,,
,32858,,,,,,,,,,
,26603,,,,,,,,,,
,18205,,,,,,,,,,
,9864,,,,,,,,,,
,4462,,,,,,,,,,
,1971,,,,,,,,,,
,963,,,,,,,,,,
,565,,,,,,,,,,
,395,,,,,,,,,,
,329,,,,,,,,,,
,305,,,,,,,,,,
,294,,,,,,,,,,
,289,,,,,,,,,,
,289,,,,,,,,,,
,288,,,,,,,,,,
,288,,,,,,,,,,
,288,,,,,,,,,,
,288,,,,,,,,,,
,288,,,,,,,,,,
,288,,,,,,,,,,
,40001,,,,,,,,,,
,39997,,,,,,,,,,
,39994,,,,,,,,,,
,39987,,,,,,,,,,
,39961,,,,,,,,,,
,39912,,,,,,,,,,
,39810,,,,,,,,,,
,39577,,,,,,,,,,
,39043,,,,,,,,,,
,37885,,,,,,,,,,
,35661,,,,,,,,,,
,31320,,,,,,,,,,
,24297,,,,,,,,,,
,15537,,,,,,,,,,
,8054,,,,,,,,,,
,3582,,,,,,,,,,
,1611,,,,,,,,,,
,802,,,,,,,,,,
,507,,,,,,,,,,
,359,,,,,,,,,,
,306,,,,,,,,,,
,287,,,,,,,,,,
,281,,,,,,,,,,
,277,,,,,,,,,,
,276,,,,,,,,,,
,276,,,,,,,,,,
,276,,,,,,,,,,
,276,,,,,,,,,,
,276,,,,,,,,,,
,276,,,,,,,,,,
,40001,,,,,,,,,,
,39998,,,,,,,,,,
,39994,,,,,,,,,,
,39981,,,,,,,,,,
,39961,,,,,,,,,,
,39903,,,,,,,,,,
,39780,,,,,,,,,,
,39542,,,,,,,,,,
,38936,,,,,,,,,,
,37686,,,,,,,,,,
,35115,,,,,,,,,,
,30333,,,,,,,,,,
,22959,,,,,,,,,,
,14142,,,,,,,,,,
,7083,,,,,,,,,,
,3126,,,,,,,,,,
,1431,,,,,,,,,,
,718,,,,,,,,,,
,445,,,,,,,,,,
,345,,,,,,,,,,
,301,,,,,,,,,,
,289,,,,,,,,,,
,284,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,282,,,,,,,,,,
,281,,,,,,,,,,
,281,,,,,,,,,,
,281,,,,,,,,,,
,281,,,,,,,,,,
,281,,,,,,,,,,
,281,,,,,,,,,,
